Country,Subject_Descriptor,Units,Scale,CountrySeries-specific_Notes,2006,Estimates_Start_After
Dominican Republic,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1991 Chain-weighted: Yes, from 1991 Primary domestic currency: Dominican pesos Data last updated: 03/2012",290.02,2010
Dominican Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.67,2010
Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3836.53,2004
Ecuador,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Base year: 2000 Chain-weighted: No Primary domestic currency: U.S. dollars Data last updated: 04/2012,21.96,2010
Ecuador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.75,2010
Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2991.79,2010
Egypt,"Gross domestic product, constant prices",National currency,Billions,Latest actual data: 2010/11. Fiscal year 2010/2011 (June 2011) Notes: Data prior to 1987 cannot be confirmed by national sources at this time. GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: 2001/02 Chain-weighted: No Primary domestic currency: Egyptian pounds Data last updated: 03/2012,454.30,2011
Egypt,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.84,2011
Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1505.96,2010
El Salvador,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2010 GDP valuation: Market prices Base year: 1990 Chain-weighted: No Primary domestic currency: U.S. dollars Data last updated: 03/2012,8.79,2010
El Salvador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.91,2010
El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3251.87,2007
Equatorial Guinea,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. And Banque des Etats de l'Afrique Centrale (Central Bank) Latest actual data: 2010 Notes: Since 2000, IMF staff estimate Real GDP by including upward coverage adjustment in non-oil sector activities; the national authorities are considering the adoption of the IMF staff estimates. National accounts manual used: SNA 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012",3018.29,2010
Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.26,2010
Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8200.92,2010
Eritrea,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2006 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Eritrean nakfa Data last updated: 03/2012,7.64,2006
Eritrea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.97,2006
Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",258.13,2006
Estonia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 03/2012",12.31,2011
Estonia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.10,2011
Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12492.53,2011
Ethiopia,"Gross domestic product, constant prices",National currency,Billions,Source: IMF Staff Latest actual data: 2011 GDP valuation: Factor costs. Data refer to fiscal years (July 8/July 7). Data for 2011 represent fiscal year 2010/11. Start/end months of reporting year: July/June Base year: 2000 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 03/2012,93.47,2011
Ethiopia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.54,2011
Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",197.90,2008
Fiji,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Fiji Islands Bureau of Statistics Latest actual data: 2007 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Fiji dollars Data last updated: 01/2012",4.41,2007
Fiji,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.85,2007
Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3599.35,2007
Finland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Downloaded through Haver Analytics and DataInsight Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1980 Primary domestic currency: Euros Data last updated: 03/2012",157.16,2011
Finland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.41,2011
Finland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",39443.69,2010
France,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1980 Primary domestic currency: Euros Data last updated: 03/2012",1761.80,2011
France,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.66,2011
France,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",36682.94,2011
Gabon,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance Latest actual data: 2008 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1991 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,1867.40,2008
Gabon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.18,2008
Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6829.24,0
The Gambia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Gambian dalasis Data last updated: 03/2012,17.46,2010
The Gambia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.80,2010
The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",417.19,2010
Georgia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1996 Primary domestic currency: Georgian lari Data last updated: 03/2012",9.36,2010
Georgia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.38,2010
Georgia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1764.85,2009
Germany,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1991. From 1991. Primary domestic currency: Euros Data last updated: 04/2012",2307.32,2011
Germany,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.89,2011
Germany,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",35274.92,2011
Ghana,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Ghanaian cedis Data last updated: 03/2012,39.04,2010
Ghana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.12,2010
Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",952.74,0
Greece,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 Notes: The National Statistical Office revised the national accounts data significantly in October, 2007. Official data are only available from 2000. Staff has estimated data prior to 2000 using growth rates from the October 2007 release of WEO. Therefore, these estimates should be treated as very provisional. Data for 2009 are provisional. National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 2000 Primary domestic currency: Euros Data last updated: 03/2012",173.78,2010
Greece,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.61,2010
Greece,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",23930.56,2010
Grenada,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010. Preliminary. National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. In addition, note that real GDP is measured at factor cost and Nominal GDP is measured at market prices. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollars Data last updated: 03/2012",1.62,2010
Grenada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-4.38,2010
Grenada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6843.05,2009
Guatemala,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2009 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzales Data last updated: 03/2012",175.69,2009
Guatemala,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.38,2009
Guatemala,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2320.30,2005
Guinea,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: No Primary domestic currency: Guinean francs Data last updated: 03/2012,7390.91,2009
Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.50,2009
Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",308.41,2009
Guinea-Bissau,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 04/2012,308.62,2011
Guinea-Bissau,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.14,2011
Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",384.27,2004
Guyana,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Previous base year 1988. Rebased to 2006 in 2009. GDP deflator not equal to 100 in base year (2006) because the nominal GDP at market prices includes indirect taxes. Chain-weighted: No Primary domestic currency: Guyana dollars Data last updated: 02/2012,262.88,2010
Guyana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.13,2010
Guyana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1911.04,2002
Haiti,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices Start/end months of reporting year: October/September Chain-weighted: No Primary domestic currency: Haitian gourdes Data last updated: 03/2012,13.07,2009
Haiti,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.25,2009
Haiti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",503.55,0
Honduras,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2010. Estimates of the CBH, subject to change National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempiras Data last updated: 03/2012",142.79,2010
Honduras,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.65,2010
Honduras,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1476.79,2001
Hong Kong SAR,"Gross domestic product, constant prices",National currency,Billions,"Source: CEIC Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 1980 Primary domestic currency: Hong Kong dollars Data last updated: 03/2012",1531.22,2011
Hong Kong SAR,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.02,2011
Hong Kong SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",27373.75,2010
Hungary,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011. Preliminary Notes: We maintain data only after 1995, as this is what the Statistical office provides. National accounts manual used: SNA 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2005. Changes in inventories is an estimate. Primary domestic currency: Hungarian forint Data last updated: 03/2012",22877.26,2011
Hungary,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.90,2011
Hungary,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11167.28,2011
Iceland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1990 Primary domestic currency: Icelandic krónur Data last updated: 03/2012",882.50,2011
Iceland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.71,2011
Iceland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",54120.98,2011
India,"Gross domestic product, constant prices",National currency,Billions,"Source: IMF Staff. The original data is in calendar years from 1997. Prior to 1997, IMF staff converted fiscal-year data to calendar years by taking 3/4 data of  year t and 1/4 data of year t+1 as data for calendar year t. Moreover, since quarterly data do not add up to the annual data adjustments are made to the quarterly data, hence they differ slightly from the official figures. Latest actual data: 2011. Official data for the latest year are advanced estimates. Data available on quarter-by-quarter basis. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004/05 Chain-weighted: No Primary domestic currency: Indian rupees Data last updated: 03/2012",37775.76,2011
India,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.53,2011
India,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",806.81,2010
Indonesia,"Gross domestic product, constant prices",National currency,Billions,Source: CEIC Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Indonesian rupiah Data last updated: 03/2012,1847126.70,2011
Indonesia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.50,2011
Indonesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1622.24,2011
Islamic Republic of Iran,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2010 Notes: Data prior to 1990 cannot be confirmed by national sources at this time. GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: April/March Base year: 1997. 1997/1998=100 Chain-weighted: No Primary domestic currency: Iranian rials Data last updated: 03/2012,460388.00,2010
Islamic Republic of Iran,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.21,2010
Islamic Republic of Iran,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3428.52,2010
Iraq,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 GDP valuation: Market prices Base year: 1988 Chain-weighted: No Primary domestic currency: Iraqi Dinar (ID) Data last updated: 03/2012,33093.43,2010
Iraq,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.21,2010
Iraq,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1568.05,2004
Ireland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Central Statistical Office of Ireland (CSO) Latest actual data: 2011 Notes: Prior to 1995 Real GDP is calculated using implied growth rates and excludes services produced by financial intermediaries (FISIM). National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 2004 Primary domestic currency: Euros Data last updated: 04/2012",169.20,2011
Ireland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.31,2011
Ireland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",52803.99,2011
Israel,"Gross domestic product, constant prices",National currency,Billions,"Source: Haver Analytics Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1995 Primary domestic currency: Israeli new sheqalim Data last updated: 03/2012",634.84,2011
Israel,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.59,2011
Israel,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",21359.47,2010
Italy,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 GDP valuation: Gross domestic product, chained Base year: 2005 Chain-weighted: Yes, from 1980 Primary domestic currency: Euros Data last updated: 03/2012",1467.97,2011
Italy,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.20,2011
Italy,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",31909.23,2010
Jamaica,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No Primary domestic currency: Jamaica dollars Data last updated: 04/2012,756.13,2011
Jamaica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.87,2011
Jamaica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4451.41,2010
Japan,"Gross domestic product, constant prices",National currency,Billions,"Source: Global Insight and Nomura database. Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1980 Primary domestic currency: Japanese yen Data last updated: 03/2012",512451.90,2011
Japan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.69,2011
Japan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",34104.72,2011
Jordan,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 GDP valuation: Market prices Base year: 1994 Chain-weighted: No Primary domestic currency: Jordanian dinars Data last updated: 03/2012,7.98,2010
Jordan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.09,2010
Jordan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2688.74,2009
Kazakhstan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 Notes: Data prior to 1996 cannot be confirmed by national sources at this time. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1994 Chain-weighted: Yes, from 1994 Primary domestic currency: Kazakhstani tenge Data last updated: 03/2012",795.97,2011
Kazakhstan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.70,2011
Kazakhstan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5261.81,2011
Kenya,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Kenya shillings Data last updated: 03/2012,1228.61,2010
Kenya,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.33,2010
Kenya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",659.87,2010
Kiribati,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices Base year: 2006 Chain-weighted: No Primary domestic currency: Australian dollars Data last updated: 02/2012,0.14,2009
Kiribati,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.24,2009
Kiribati,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1109.04,2009
Korea,"Gross domestic product, constant prices",National currency,Billions,"Source: CEIC Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from before 1980 Primary domestic currency: Korean won Data last updated: 04/2012",910048.90,2010
Korea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.18,2010
Korea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",19706.59,2010
Kosovo,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 National accounts manual used: GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Euro Data last updated: 03/2012,3.33,2009
Kosovo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.42,2009
Kosovo,"Gross domestic product per capita, current prices",U.S. dollars,Units,,,
Kuwait,"Gross domestic product, constant prices",National currency,Billions,"Source: Ministry of Planning and Central Statistical Office Latest actual data: 2010. The latest year of  data for national accounts at constant prices is 2007. Notes: Real GDP data for the period 1990-1999 have been adjusted by desk economist to account for breaks in the source data. The breaks are associated with changes in the base year from 1984 to 1995 and subsequently to 2000. Only pre-revision data exist for the period prior to 1995. Simple rebasing technique does not apply because even the nominal data were revised back to 1995. Using the pre-revision data, desk economist recalculated the constant price data for the period prior to 1995 so that y-o-y change of each component remains unchanged. A similar adjustment was made to the period 1995-1999. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Kuwaiti dinars Data last updated: 03/2012",17.37,2010
Kuwait,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.26,2010
Kuwait,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",31907.18,2010
Kyrgyz Republic,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Kyrgyz som Data last updated: 03/2012,26.31,2011
Kyrgyz Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.10,2011
Kyrgyz Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",540.59,2010
Lao People's Democratic Republic,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices. by Activity at Constant Price 2002 Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Lao kip Data last updated: 01/2012,23313.60,2009
Lao People's Democratic Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.65,2009
Lao People's Democratic Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",595.69,2009
Latvia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 1995 Primary domestic currency: Latvian lats Data last updated: 03/2012",7.78,2011
Latvia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.53,2011
Latvia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8652.70,2010
Lebanon,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. Presidency of the Council of Ministers for data since 1997 Latest actual data: 2010 National accounts manual used: Accounts were established according to a simplified model adapted to Lebanon, which takes into account statistical constraints. Main aggregates are compatible though with internationally adopted concepts. GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000. Used by Fund staff (the authorities use 1997 as base year). Chain-weighted: Yes, from 1997. The previous year is used as base year. Primary domestic currency: Lebanese pounds Data last updated: 03/2012",31540.51,2010
Lebanon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.60,2010
Lebanon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5969.27,2007
